"Story","Title","Result","Date","Stability","Duration (s)"
"Autenticacion en la pagina de Facebook","Verificar la autenticacion exitosa en la pagina de Facebook","SUCCESS","2025-11-04T13:31:05.1511382-05:00[America/Bogota]","0.0","8.53"
"Autenticación en la página de Practice Test Automation","Verificar la autenticación exitosa en la página de Practice Test Automation","PENDING","2025-11-04T15:00:18.7909421-05:00[America/Bogota]","0.0","0.37"
"Autenticación en la página de Practice Test Automation","Verificar la autenticación exitosa en la pagina de Practice Test Automation","SUCCESS","2025-11-05T03:25:13.0572707-05:00[America/Bogota]","0.0","14.74"
"Autenticación en mi página local","Inicio de sesión exitoso","SUCCESS","2025-11-09T20:33:32.0860856-05:00[America/Bogota]","0.0","10.29"
"Crear un nuevo producto en el sistema","Crear un nuevo producto exitosamente","PENDING","2025-11-10T20:44:15.1788109-05:00[America/Bogota]","0.0","26.44"
"Crear un nuevo producto en el sistema","Crear un producto exitosamente","SUCCESS","2025-11-11T19:31:44.2602607-05:00[America/Bogota]","0.0","41.58"
"Crear un nuevo usuario en el sistema","Crear un nuevo usuario exitosamente","FAILURE","2025-11-11T19:44:55.7799962-05:00[America/Bogota]","0.0","73.43"
"Editar usuario existente","Editar un usuario existente exitosamente","SUCCESS","2025-11-11T19:29:43.4101954-05:00[America/Bogota]","0.0","35.52"
"Eliminar producto del sistema","Eliminar un producto existente","SUCCESS","2025-11-11T19:33:28.1353379-05:00[America/Bogota]","0.0","50.56"
"Eliminar usuario del sistema","Eliminar un usuario existente","FAILURE","2025-11-11T19:41:17.2299713-05:00[America/Bogota]","0.0","27.94"
